time,disp_y_top,react_y_top,stress_yy
0,0,0,0
0.01,-0.0035,-0.0066921091582563,-0.0005322692395275
0.02,-0.007,-0.016482824123993,-0.0013097560327557
0.03,-0.0105,-0.023476443256307,-0.0018636989511928
0.04,-0.014,-0.032133990380786,-0.002548858749162
0.05,-0.0175,-0.048678078400404,-0.0038590342217501
0.06,-0.021,-0.060745877658272,-0.0048112245511408
0.07,-0.0245,-0.070855733800159,-0.0056058911034814
0.08,-0.028,-0.079935888181395,-0.0063168086040449
0.09,-0.0315,-0.10752230743066,-0.0084980774019136
0.1,-0.035,-0.13324225820722,-0.010527093639714
0.11,-0.0385,-0.15238085198019,-0.012029804956754
0.12,-0.042,-0.16908137356352,-0.013335476047504
0.13,-0.0455,-0.20079192747526,-0.015829780097853
0.14,-0.049,-0.22707666670621,-0.017888916472662
0.15,-0.0525,-0.24918182668729,-0.019612158460065
0.16,-0.056,-0.26915614577472,-0.021162331289876
0.17,-0.0595,-0.31160379829783,-0.024496033314961
0.18,-0.063,-0.35204870057501,-0.027664962666376
0.19,-0.0665,-0.38510742649075,-0.030242000607339
0.2,-0.07,-0.41442167049403,-0.032516356295122
0.21,-0.0735,-0.45989481419441,-0.036067632915434
0.22,-0.077,-0.49954715528191,-0.039150973086536
0.23,-0.0805,-0.53430454392064,-0.041839879915258
0.24,-0.084,-0.56624470979826,-0.044299201065234
0.25,-0.0875,-0.62560117607785,-0.048931483578034
0.26,-0.091,-0.68010996285166,-0.053171568775561
0.27,-0.0945,-0.72679169356928,-0.056783301010754
0.28,-0.098,-0.76901988485721,-0.060034100575856
0.29,-0.1015,-0.82950083708143,-0.064724896820393
0.3,-0.105,-0.88240991584508,-0.068807223561213
0.31,-0.1085,-0.93016786322838,-0.072472875187567
0.32,-0.112,-0.97472724509876,-0.075876742100104
0.33,-0.1155,-1.0521446411042,-0.081882702325163
0.34,-0.119,-1.1195769867674,-0.08708723061414
0.35,-0.1225,-1.1799154540759,-0.091719541515393
0.36,-0.126,-1.2367306278067,-0.096062671993837
0.37,-0.1295,-1.311690043146,-0.10183473104053
0.38,-0.133,-1.3777293063147,-0.10688984662542
0.39,-0.1365,-1.4384105384733,-0.11150980057024
0.4,-0.14,-1.5009043078839,-0.11626362454837
0.41,-0.1435,-1.592534559229,-0.12332064807702
0.42,-0.147,-1.6729704680142,-0.12947911718358
0.43,-0.1505,-1.7464723297551,-0.13507641397841
0.44,-0.154,-1.8206316297192,-0.1407136402321
0.45,-0.1575,-1.9077101864261,-0.14736324008275
0.46,-0.161,-1.9867383569736,-0.15336270283535
0.47,-0.1645,-2.060202444295,-0.15890869999305
0.48,-0.168,-2.1417323263353,-0.16508260497963
0.49,-0.1715,-2.2454765044844,-0.17300810444992
0.5,-0.175,-2.3388436077641,-0.18009813013436
0.51,-0.1785,-2.4252828932521,-0.18662515566488
0.52,-0.182,-2.515582417853,-0.19344373824773
0.53,-0.1855,-2.6151128684894,-0.200980523695
0.54,-0.189,-2.7066232465955,-0.20786773877806
0.55,-0.1925,-2.7924461054002,-0.21428947805544
0.56,-0.196,-2.8937956614732,-0.221928623647
0.57,-0.1995,-3.0101318892088,-0.23074385904859
0.58,-0.203,-3.1157810529359,-0.23869676227617
0.59,-0.2065,-3.2145083657432,-0.24608553197651
0.6,-0.21,-3.3223534681712,-0.25418037971519
0.61,-0.2135,-3.4361350158515,-0.26272948648176
0.62,-0.217,-3.5422239312048,-0.27065350431954
0.63,-0.2205,-3.6423381827618,-0.27808760545881
0.64,-0.224,-3.7371857220985,-0.28508666940981
0.65,-0.2275,-3.8273345688869,-0.29169588178945
0.66,-0.231,-3.914498306956,-0.29805192551563
0.67,-0.2345,-4.0723464472209,-0.31000222782854
0.68,-0.238,-4.2259554636738,-0.32159550087352
0.69,-0.2415,-4.3701794600236,-0.3324257091233
0.7,-0.245,-4.5024742718513,-0.34229451467086
0.71,-0.2485,-4.6255747590663,-0.35141443195742
0.72,-0.252,-4.7421261705778,-0.35999599557129
0.73,-0.2555,-4.8533248366124,-0.36813447518016
0.74,-0.259,-4.9600721549169,-0.3759010816451
0.75,-0.2625,-5.095348539946,-0.38590469678909
0.76,-0.266,-5.2420347775317,-0.39679031259643
0.77,-0.2695,-5.3779197635462,-0.40680112099213
0.78,-0.273,-5.5052804281747,-0.41611607339846
0.79,-0.2765,-5.6258918817888,-0.42487493493071
0.8,-0.28,-5.7414344334803,-0.43321172943021
0.81,-0.2835,-5.8524462529618,-0.44116905335588
0.815,-0.28525,-5.9196190415684,-0.44606545474902
0.825,-0.28875,-6.1055444520523,-0.4599326801661
0.835,-0.29225,-6.2828023381362,-0.47308832220171
0.845,-0.29575,-6.4490164233889,-0.48534366513663
0.855,-0.29925,-6.6045553689977,-0.49673091690196
0.865,-0.30275,-6.7509144792266,-0.50736828478384
0.875,-0.30625,-6.8897387593648,-0.51738616604105
0.885,-0.30975,-7.0221812771476,-0.5268727664252
0.895,-0.31325,-7.1501603964436,-0.53598270633206
0.905,-0.31675,-7.273689059275,-0.5447164504382
0.91,-0.3185,-7.3487508410234,-0.55012508818538
0.92,-0.322,-7.5190961159355,-0.56252147317526
0.93,-0.3255,-7.6817016819029,-0.57428034959596
0.94,-0.329,-7.8346846269876,-0.58525259802297
0.95,-0.3325,-7.9784837942878,-0.59547203871207
0.96,-0.336,-8.1153150219207,-0.60511558360852
0.97,-0.3395,-8.2466620154138,-0.61430161407523
0.98,-0.343,-8.3739073865873,-0.62313840932632
0.99,-0.3465,-8.4975860207927,-0.63166772571111
1,-0.35,-8.61718194541,-0.63984875167701
1.01,-0.343,-7.8996364677703,-0.58725348715021
1.02,-0.336,-7.1847071096173,-0.53458927193908
1.03,-0.329,-6.472819828174,-0.48189361636372
1.04,-0.322,-5.7865672002028,-0.4310169357396
1.05,-0.315,-5.1334109955977,-0.38258656797663
1.06,-0.308,-4.4833456417577,-0.33415171285658
1.07,-0.301,-3.8458818195407,-0.28648761967517
1.08,-0.294,-3.2804278712487,-0.24445058658869
1.09,-0.287,-2.7294854888963,-0.20336402069935
1.1,-0.28,-2.215454721414,-0.16504428122697
1.11,-0.273,-1.7224922289382,-0.12821089519786
1.12,-0.266,-1.2898840787428,-0.096033428229295
1.13,-0.259,-0.89154371034865,-0.066410862808991
1.14,-0.252,-0.53821777143188,-0.040190977126156
1.15,-0.245,-0.24479153543109,-0.018504368559933
1.16,-0.238,-0.02946142946033,-0.0027005836470362
1.17,-0.231,-2.8209068559848e-12,-0.00056004172524179
1.18,-0.224,5.9475998743182e-13,-0.00056004171325241
1.19,-0.217,-3.8233257087299e-12,-0.00056004170126358
1.2,-0.21,-4.423730575291e-12,-0.00056004168927471
1.21,-0.203,-5.0873645171649e-12,-0.00056004167728546
1.22,-0.196,-5.910154061368e-12,-0.00056004166529686
1.23,-0.189,-7.0040762477843e-12,-0.0005600416533085
1.24,-0.182,-6.1433089509755e-12,-0.00056004164131978
1.25,-0.175,-6.0930879046293e-12,-0.00056004162933091
1.26,-0.168,-7.1735223648747e-12,-0.00056004161734242
1.27,-0.161,-6.2513107597827e-12,-0.00056004160535379
1.28,-0.154,-7.089000669778e-12,-0.00056004159336508
1.29,-0.147,-8.1968878786548e-12,-0.00056004158137672
1.3,-0.14,-7.8785424356543e-12,-0.00056004156938755
1.31,-0.133,-8.9135076518715e-12,-0.00056004155739821
1.32,-0.126,-9.1056347642613e-12,-0.00056004154540992
1.33,-0.119,-8.6292853449267e-12,-0.00056004153342134
1.34,-0.112,-9.4487439202062e-12,-0.00056004152143264
1.35,-0.105,-1.0155220927466e-11,-0.00056004150944342
1.36,-0.097999999999999,-1.004929034376e-11,-0.00056004149745504
1.37,-0.090999999999999,-1.0804569957687e-11,-0.00056004148546607
1.38,-0.083999999999999,-1.0746063331189e-11,-0.00056004147347768
1.39,-0.076999999999999,-1.1110708124058e-11,-0.00056004146148918
1.4,-0.069999999999999,-1.2103232707866e-11,-0.00056004144950011
1.41,-0.062999999999999,-1.1775670138207e-11,-0.00056004143751076
1.42,-0.055999999999999,-1.248039471265e-11,-0.00056004142552258
1.43,-0.048999999999999,-1.2518413441745e-11,-0.00056004141353417
1.44,-0.041999999999999,-1.297049694728e-11,-0.00056004140154555
1.45,-0.034999999999999,-1.292537721361e-11,-0.00056004138955665
