time,disp_y_top,react_y_top,stress_yy
0,0,0,0
0.01,-0.0025,-0.0062816478474968,-0.00049978334076149
0.02,-0.005,-0.026324665092541,-0.0020931304917211
0.03,-0.0075,-0.037622881951055,-0.0029897210410832
0.04,-0.01,-0.047379608684674,-0.0037627068199887
0.05,-0.0125,-0.055510944106681,-0.004405404070715
0.06,-0.015,-0.080683747291255,-0.0064019180474841
0.07,-0.0175,-0.10441095021347,-0.008280836054754
0.08,-0.02,-0.12090655852047,-0.0095827912479111
0.09,-0.0225,-0.13394301351435,-0.010608084216908
0.1,-0.025,-0.14560145948512,-0.011522072536352
0.11,-0.0275,-0.15854631473463,-0.01253692288175
0.12,-0.03,-0.20631607217712,-0.016321531967391
0.13,-0.0325,-0.24855040476678,-0.019661804446132
0.14,-0.035,-0.28327651423186,-0.022401265122373
0.15,-0.0375,-0.30712611974685,-0.024273112738186
0.16,-0.04,-0.32748483138372,-0.025864248101673
0.17,-0.0425,-0.36961154767115,-0.029182704691183
0.18,-0.045,-0.4162191475755,-0.032852923860874
0.19,-0.0475,-0.45389847495389,-0.035809069187299
0.2,-0.05,-0.48286483630488,-0.038069240177376
0.21,-0.0525,-0.5084822051777,-0.040059654406142
0.22,-0.055,-0.54656809685677,-0.043039330038323
0.23,-0.0575,-0.61895315790475,-0.048745022097776
0.24,-0.06,-0.68389803074138,-0.053853409308603
0.25,-0.0625,-0.73798370541199,-0.058092951606026
0.26,-0.065,-0.77904022913522,-0.061292215935016
0.27,-0.0675,-0.81494944688777,-0.064077026284361
0.28,-0.07,-0.88624050095608,-0.069667689994467
0.29,-0.0725,-0.95397492102251,-0.07496889793775
0.3,-0.075,-1.0075827659749,-0.079142158631271
0.31,-0.0775,-1.0515635081867,-0.082545276384119
0.32,-0.08,-1.0911501013217,-0.085593727655594
0.33,-0.0825,-1.165540317606,-0.09140562456351
0.34,-0.085,-1.2617980297826,-0.098951226812616
0.35,-0.0875,-1.3491288149502,-0.10577891934909
0.36,-0.09,-1.4184811700298,-0.11117195005408
0.37,-0.0925,-1.4759847970633,-0.11561672356428
0.38,-0.095,-1.5368198563578,-0.12031851897158
0.39,-0.0975,-1.6321843335216,-0.12775473713734
0.4,-0.1,-1.7170141304469,-0.13434570605946
0.41,-0.1025,-1.7854748366116,-0.13962981476613
0.42,-0.105,-1.8448208802719,-0.14418223365854
0.43,-0.1075,-1.8991731556807,-0.14833022202577
0.44,-0.11,-2.0211537852851,-0.15784914788714
0.45,-0.1125,-2.1381692154464,-0.16696519459653
0.46,-0.115,-2.2423284595356,-0.1750504033593
0.47,-0.1175,-2.3242365968565,-0.18136134855578
0.48,-0.12,-2.3970194492372,-0.18693780134482
0.49,-0.1225,-2.493589826294,-0.19439215202385
0.5,-0.125,-2.6085473579556,-0.20329601204448
0.51,-0.1275,-2.7072294966157,-0.21089862221185
0.52,-0.13,-2.789457501641,-0.21718682235975
0.53,-0.1325,-2.8638394806566,-0.22284229510152
0.54,-0.135,-2.9616046879603,-0.23034711290481
0.55,-0.1375,-3.108728019031,-0.24176661537604
0.56,-0.14,-3.2457741249769,-0.25237325835105
0.57,-0.1425,-3.3604337711349,-0.26119364905213
0.58,-0.145,-3.4578835238813,-0.26863735389594
0.59,-0.1475,-3.5458636406694,-0.27531733846379
0.6,-0.15,-3.6878801302607,-0.28627398629668
0.61,-0.1525,-3.8173962472691,-0.29622656434388
0.62,-0.155,-3.926173035531,-0.30452287276746
0.63,-0.1575,-4.0223064361895,-0.31180413623038
0.64,-0.16,-4.1111321898323,-0.3184930229777
0.65,-0.1625,-4.2596600765652,-0.32991484148358
0.66,-0.165,-4.4264434547092,-0.3427764158327
0.67,-0.1675,-4.5794212582038,-0.35452800157461
0.68,-0.17,-4.7035118258137,-0.36397838754117
0.69,-0.1725,-4.8149021216007,-0.37240724918304
0.7,-0.175,-4.9360462988956,-0.38159432554353
0.71,-0.1775,-5.0975253116901,-0.39396886866545
0.72,-0.18,-5.2414294577694,-0.40493505385437
0.73,-0.1825,-5.3622950007219,-0.41406098866061
0.74,-0.185,-5.4721675596942,-0.4223002099727
0.75,-0.1875,-5.5822256311275,-0.4305411099984
0.76,-0.19,-5.7796084061624,-0.44570858582248
0.77,-0.1925,-5.9643387168152,-0.45985517822975
0.78,-0.195,-6.1264889698335,-0.47219645948228
0.79,-0.1975,-6.2637354711336,-0.48254948889477
0.8,-0.2,-6.3891771794646,-0.49195050442395
0.81,-0.2025,-6.5545677402575,-0.50450303458879
0.82,-0.205,-6.7373254871539,-0.5184155562144
0.83,-0.2075,-6.8985465198588,-0.5306038448284
0.84,-0.21,-7.0416600267934,-0.54134061398225
0.85,-0.2125,-7.170678245156,-0.55094516660911
0.86,-0.215,-7.290942361023,-0.55983881661888
0.87,-0.2175,-7.4039229713859,-0.56813634152217
0.88,-0.22,-7.5115003937544,-0.57598885268902
0.89,-0.2225,-7.6170701990891,-0.58366747174428
0.9,-0.225,-7.8866284981747,-0.60437595829763
0.91,-0.2275,-8.1420186322454,-0.62393453032322
0.92,-0.23,-8.3853571913892,-0.64251524337512
0.93,-0.2325,-8.6138673460915,-0.65989818258489
0.94,-0.235,-8.8260601732989,-0.67596652579569
0.95,-0.2375,-9.0206327768126,-0.6906173975112
0.96,-0.24,-9.1854460917113,-0.70289464517934
0.97,-0.2425,-9.3379340463653,-0.71417410154353
0.98,-0.245,-9.4815807859621,-0.72473364516969
0.99,-0.2475,-9.6173081874574,-0.7346462469102
1,-0.25,-9.7449155587908,-0.74389629843012
1.01,-0.245,-8.8692621328832,-0.67755881349476
1.02,-0.24,-7.9954888662361,-0.61114665754185
1.03,-0.235,-7.1238257680295,-0.54468044127473
1.04,-0.23,-6.2553513261424,-0.47824751523307
