time,disp_y_top,react_y_top,stress_yy
0,0,0,0
0.01,-0.0035,-0.010611872381794,-0.00084342812358448
0.02,-0.007,-0.014094648617119,-0.0011192453308536
0.03,-0.0105,-0.017085248353265,-0.0013554469564307
0.04,-0.014,-0.057148624293503,-0.0045385923202254
0.05,-0.0175,-0.093152012355322,-0.0073924507493786
0.06,-0.021,-0.11153148050739,-0.0088424108301393
0.07,-0.0245,-0.12654581731593,-0.010022465413868
0.08,-0.028,-0.13888833565987,-0.010987672711747
0.09,-0.0315,-0.1492284180148,-0.011791605680995
0.1,-0.035,-0.15712963515641,-0.012399752034797
0.11,-0.0385,-0.22322876850347,-0.01763470420054
0.12,-0.042,-0.28713447572516,-0.02268726610027
0.13,-0.0455,-0.33435530972239,-0.026406500581107
0.14,-0.049,-0.36518045406849,-0.028817669496736
0.15,-0.0525,-0.39015546291954,-0.030759006194211
0.16,-0.056,-0.41031179199164,-0.032313235869499
0.17,-0.0595,-0.42647454915106,-0.033545913929282
0.18,-0.063,-0.48608102642686,-0.038231606991211
0.19,-0.0665,-0.58292514108753,-0.045872373889718
0.2,-0.07,-0.66705090601249,-0.052490484921952
0.21,-0.0735,-0.72245824801073,-0.056818471697158
0.22,-0.077,-0.76261021437908,-0.059926728270562
0.23,-0.0805,-0.79600819438828,-0.062490434722669
0.24,-0.084,-0.82471284897838,-0.064673803667444
0.25,-0.0875,-0.8661025245704,-0.067860532310767
0.26,-0.091,-0.99584006989518,-0.078071224868286
0.27,-0.0945,-1.1110666620953,-0.08711490990893
0.28,-0.098,-1.2014896789991,-0.094174453571431
0.29,-0.1015,-1.2610663682618,-0.098772987227218
0.3,-0.105,-1.3106450071429,-0.1025651782365
0.31,-0.1085,-1.3532212241899,-0.10579051351425
0.32,-0.112,-1.3890274785091,-0.1084682202765
0.33,-0.1155,-1.5274885932043,-0.11930879667722
0.34,-0.119,-1.6749075252724,-0.13084911374676
0.35,-0.1225,-1.8012632978989,-0.1406965822058
0.36,-0.126,-1.8856095171423,-0.14719468576257
0.37,-0.1295,-1.9529506437946,-0.15232880121766
0.38,-0.133,-2.0101000842221,-0.15663958620841
0.39,-0.1365,-2.0596692369619,-0.16033461362177
0.4,-0.14,-2.180142993649,-0.16966006096707
0.41,-0.1435,-2.3594684042764,-0.18365502042497
0.42,-0.147,-2.5180066417656,-0.19597826964079
0.43,-0.1505,-2.6368687994344,-0.20513497045726
0.44,-0.154,-2.7237389580807,-0.21173523070902
0.45,-0.1575,-2.7983266745502,-0.21734259240555
0.46,-0.161,-2.86354353681,-0.22218888988891
0.47,-0.1645,-2.9588742284309,-0.22941650926992
0.48,-0.168,-3.1711095671757,-0.24593419253529
0.49,-0.1715,-3.3640359300355,-0.26089609204173
0.5,-0.175,-3.5217246066246,-0.27303928420843
0.51,-0.1785,-3.6325609397918,-0.28144517677328
0.52,-0.182,-3.7269726929683,-0.28852587581373
0.53,-0.1855,-3.8093195347998,-0.294628973025
0.54,-0.189,-3.8826274954473,-0.29999716446432
0.55,-0.1925,-4.1194050153951,-0.31834993605486
0.56,-0.196,-4.3623147651176,-0.33716939722619
0.57,-0.1995,-4.5846525200624,-0.35432735888576
0.58,-0.203,-4.7757274992446,-0.36897917722526
0.59,-0.2065,-4.9290781905988,-0.38061465999115
0.6,-0.21,-5.0563683292846,-0.39015537030426
0.61,-0.2135,-5.1683117700838,-0.39845010144839
0.62,-0.217,-5.2652335433665,-0.40552379792903
0.63,-0.2205,-5.3535254000947,-0.41188620103933
0.64,-0.224,-5.4337468665621,-0.41758361241121
0.65,-0.2275,-5.5078354338075,-0.42277344593323
0.66,-0.231,-5.5769916458175,-0.42755436771705
0.665,-0.23275,-5.6736298682243,-0.43489186963164
0.675,-0.23625,-6.0274546158498,-0.4623365422051
0.685,-0.23975,-6.3564006429048,-0.48776855266247
0.695,-0.24325,-6.662574621844,-0.51136312375621
0.705,-0.24675,-6.9408407462446,-0.53270484982868
0.715,-0.25025,-7.1986721809472,-0.55238289313175
0.725,-0.25375,-7.4001001140415,-0.56756304997912
0.735,-0.25725,-7.5671785999644,-0.57998771593065
0.745,-0.26075,-7.7143689743014,-0.59080596676307
0.755,-0.26425,-7.8440107489954,-0.60020046954421
0.765,-0.26775,-7.962045364499,-0.60864616456921
0.775,-0.27125,-8.0653976162101,-0.61589362359099
0.785,-0.27475,-8.1589491878341,-0.6223365053277
0.795,-0.27825,-8.2462373292269,-0.62826034203384
0.805,-0.28175,-8.3275128487012,-0.63367971624506
0.81,-0.2835,-8.3664079177665,-0.63624275180231
0.82,-0.287,-8.6262058593479,-0.65582999864101
0.83,-0.2905,-9.0366375907185,-0.68735772431593
0.84,-0.294,-9.4188701278658,-0.71657960977733
0.85,-0.2975,-9.7824395174838,-0.74425433230561
0.86,-0.301,-10.110582530501,-0.76907751541284
0.87,-0.3045,-10.401129072671,-0.79088289465345
0.88,-0.308,-10.665101012874,-0.81053888137173
0.89,-0.3115,-10.900124321763,-0.82785213657608
0.9,-0.315,-11.101446060212,-0.84245589326342
0.91,-0.3185,-11.265166935711,-0.8540554694314
0.92,-0.322,-11.410290394362,-0.86415150456803
0.93,-0.3255,-11.541534995064,-0.87311814931849
0.94,-0.329,-11.664681760835,-0.88141341973682
0.95,-0.3325,-11.780659928764,-0.88911297074264
0.96,-0.336,-11.884209111028,-0.89581322192082
0.97,-0.3395,-11.98216340785,-0.90204264558729
0.98,-0.343,-12.070612190296,-0.90749158712696
0.99,-0.3465,-12.15267557119,-0.9124143457698
1,-0.35,-12.23167407991,-0.91707229230823
1.01,-0.343,-10.771236887596,-0.80884750704979
1.02,-0.336,-9.3150041717058,-0.70041623942404
1.03,-0.329,-7.8631122328326,-0.59179546413385
1.04,-0.322,-6.4155610981578,-0.48299120072554
1.05,-0.315,-4.9863335362606,-0.37513501639377
1.06,-0.308,-3.6037252721554,-0.27050772387116
1.07,-0.301,-2.4704147176445,-0.18584719416128
1.08,-0.294,-1.3750054856176,-0.10374519678411
1.09,-0.287,-0.48601886508224,-0.037631093288154
1.1,-0.28,3.3653854815483e-14,-0.0017448898267355
1.11,-0.273,-4.4707696864667e-13,-0.0017448897275577
1.12,-0.266,-1.1731183066998e-12,-0.0017448896290177
1.13,-0.259,-1.513270410063e-12,-0.0017448895304783
1.14,-0.252,-2.0051785278312e-12,-0.0017448894319383
1.15,-0.245,-2.95828689846e-12,-0.001744889333398
1.16,-0.238,-3.55412551247e-12,-0.0017448892348585
1.17,-0.231,-4.1242276495586e-12,-0.0017448891363204
1.18,-0.224,-2.6963313436577e-12,-0.0017448890377816
1.19,-0.217,-4.9816182791693e-12,-0.0017448889392423
1.2,-0.21,-5.8635946617963e-12,-0.0017448888407027
1.21,-0.203,-6.2354074099955e-12,-0.0017448887421644
1.22,-0.196,2.697464001197e-12,-0.0017448925359867
1.23,-0.189,-1.0607096832002e-12,-0.0017448895995787
1.24,-0.182,-4.3642074156592e-12,-0.0017448869002203
1.25,-0.175,-8.2755110561119e-12,-0.001744884599942
1.26,-0.168,-1.1132257868317e-11,-0.0017448825878999
1.27,-0.161,1.3977789906701e-12,-0.0017448943298685
1.28,-0.154,-1.1781206884687e-12,-0.0017448897588448
1.29,-0.147,-3.146046279528e-12,-0.0017448853330149
1.3,-0.14,-5.2919998671543e-12,-0.0017448821753274
1.31,-0.133,-4.7340644401692e-13,-0.0017448959167828
