time,disp_y_top,react_y_top,stress_yy
0,0,0,0
0.01,-0.003,-0.012565193303161,-0.0062709243437255
0.02,-0.006,-0.014973773745526,-0.007465923340291
0.03,-0.009,-0.016842474382521,-0.008389361265759
0.04,-0.012,-0.018245433707105,-0.0090786029530916
0.05,-0.015,-0.019429672592507,-0.0096574001744857
0.06,-0.018,-0.020440149259311,-0.010148605704997
0.07,-0.021,-0.021381590487141,-0.010604718376228
0.08,-0.024,-0.022292688242283,-0.011045004591733
0.09,-0.027,-0.023181435966034,-0.011473517950693
0.1,-0.03,-0.024035375690462,-0.01188409709205
0.11,-0.033,-0.024863983832148,-0.012281490068181
0.12,-0.036,-0.025683676603151,-0.012673895880647
0.13,-0.039,-0.02649493268562,-0.013061549620063
0.14,-0.042,-0.027283531250919,-0.013437227335807
0.15,-0.045,-0.028062052043478,-0.013807344815653
0.16,-0.048,-0.028832259430675,-0.014172788905437
0.17,-0.051,-0.029565557110238,-0.014519451605574
0.18,-0.054,-0.03029257751497,-0.014862467540771
0.19,-0.057,-0.045216138756172,-0.022309303513949
0.2,-0.06,-0.059198254418562,-0.029292426249929
0.21,-0.063,-0.066580490244178,-0.032951967469397
0.22,-0.066,-0.071707011836896,-0.035472242802911
0.23,-0.069,-0.075741360875037,-0.037439230253348
0.24,-0.072,-0.079210433305246,-0.039118622197297
0.25,-0.075,-0.082255007164473,-0.040582009684712
0.26,-0.078,-0.08503192985586,-0.041908163295993
0.27,-0.081,-0.087484099472079,-0.043068948112217
0.28,-0.084,-0.089735911413001,-0.044126943138659
0.29,-0.087,-0.091859015076615,-0.045118273196986
0.3,-0.09,-0.093889637931694,-0.046061172004971
0.31,-0.093,-0.095826180817966,-0.046954940311602
0.32,-0.096,-0.097670102219585,-0.047800603633069
0.33,-0.099,-0.099449505215285,-0.048612134432845
0.34,-0.102,-0.10116771821056,-0.04939126118047
0.35,-0.105,-0.10284109779349,-0.050146246294906
0.36,-0.108,-0.10447815625516,-0.050881337214965
0.37,-0.111,-0.11869789011366,-0.057912054153675
0.38,-0.114,-0.14683760484483,-0.071961227699816
0.39,-0.117,-0.16053799534669,-0.078751621872882
0.4,-0.12,-0.16975478049455,-0.08327230099654
0.41,-0.123,-0.17697402134231,-0.086777135650074
0.42,-0.126,-0.18295931668859,-0.089653840704983
0.43,-0.129,-0.18818690820111,-0.092142884118748
0.44,-0.132,-0.19287808279076,-0.094356832231793
0.45,-0.135,-0.19714831181002,-0.096354824615305
0.46,-0.138,-0.20113701228472,-0.098206891026463
0.47,-0.141,-0.2049098888503,-0.099946364220621
0.48,-0.144,-0.20852353958303,-0.10160178756394
0.49,-0.147,-0.2343515027851,-0.11447719813962
0.5,-0.15,-0.24803346756706,-0.12124686945901
0.51,-0.153,-0.25750313564557,-0.12585568444825
0.52,-0.156,-0.26548013282213,-0.12968907180878
0.53,-0.159,-0.27256029617477,-0.13305384487897
0.54,-0.162,-0.27895831643326,-0.13606350349925
0.55,-0.165,-0.28485295499607,-0.13881043277369
0.56,-0.168,-0.29036870327832,-0.14135914505347
0.57,-0.171,-0.29554962736218,-0.14373371143412
0.58,-0.174,-0.30037127351328,-0.14592414908616
0.59,-0.177,-0.30489519447436,-0.14796149615402
0.6,-0.18,-0.31362543376978,-0.15211946235583
0.61,-0.183,-0.33052615625883,-0.16041149146904
0.62,-0.186,-0.34066386978082,-0.16526634724604
0.63,-0.189,-0.34896345372361,-0.16917691345056
0.64,-0.192,-0.35609375096254,-0.17249274145657
0.65,-0.195,-0.36255571149654,-0.17546737487107
0.66,-0.198,-0.36854749969159,-0.17820120484627
0.67,-0.201,-0.39621088912699,-0.1918329684222
0.68,-0.204,-0.41772427797364,-0.20237037138486
0.69,-0.207,-0.42966902803503,-0.20806992422776
0.7,-0.21,-0.43809990104319,-0.21198874679014
0.71,-0.213,-0.44471500570273,-0.21498793800636
0.72,-0.216,-0.45041749007033,-0.21752187371307
0.73,-0.219,-0.45559464091202,-0.21978536591386
0.74,-0.222,-0.46038650215095,-0.2218502182779
0.75,-0.225,-0.47042545676766,-0.22660706284377
0.76,-0.228,-0.48603975101848,-0.23425085005314
0.77,-0.231,-0.49460060501101,-0.23825334112499
0.78,-0.234,-0.50121835156707,-0.24124149365494
0.79,-0.237,-0.51553333331489,-0.24819939172438
0.8,-0.24,-0.53110351689737,-0.25585160587939
0.81,-0.243,-0.54156587653952,-0.26087579938539
0.82,-0.246,-0.55135263332414,-0.26553842609379
0.83,-0.249,-0.5586977456994,-0.26893057334449
0.84,-0.252,-0.56489787822088,-0.27171773127404
0.85,-0.255,-0.57042489979865,-0.27414239843394
0.86,-0.258,-0.57531978299055,-0.2762297238235
