Average,,,,E0,E1,Analog,,,,,,,,,,,
Index [1],exx [1] - engr.,eyy [1] - engr.,exy [1] - engr.,ΔL/L0 [0] Extensometer x-strain,ΔL/L0 [1] Extensometer y-strain,Time_0,Disp_mm,Load_N,Area,,Strain,Stress,,Possion,,,
31,0.000161778,-0.00106346,-0.000242684,-0.000877995,0.000257475,31.0025,-0.0562,-3967.99,,,0.00106346,73.30482173,,1.52E-01,,0.203257472,
32,0.000281704,-0.00105218,-0.000230396,-0.000847293,0.000309571,32.0038,-0.0582,-4190.22,,,0.00105218,77.41030852,,2.68E-01,,0.281132797,
33,0.000260215,-0.00112857,-0.000288159,-0.000867561,0.000318077,33.0027,-0.0604,-4409.23,,,0.00112857,81.45630889,,2.31E-01,,0.286782261,
34,0.00022823,-0.00121586,-0.00033197,-0.000932244,0.000275783,34.0038,-0.0624,-4634.69,,,0.00121586,85.62146684,,1.88E-01,,0.202917844,
35,0.000280254,-0.00123398,-0.000291797,-0.000961091,0.000335698,35.0029,-0.0647,-4889.13,,,0.00123398,90.32200259,,2.27E-01,,0.250157234,
36,0.000280028,-0.00123906,-0.000304621,-0.000939847,0.000381503,36.0032,-0.0668,-5098.48,,,0.00123906,94.18954369,,2.26E-01,,0.233474716,
37,0.000348504,-0.00125677,-0.000144929,-0.000980156,0.000372321,37.0053,-0.0688,-5356.14,,,0.00125677,98.94956586,,2.77E-01,,0.26312099,
38,0.000382013,-0.00128355,-0.000296122,-0.00102466,0.000387061,38.0073,-0.071,-5571.93,,,0.00128355,102.9360798,,2.98E-01,,0.239730043,
39,0.000396529,-0.00133299,-0.000271783,-0.00105022,0.000443077,39.0043,-0.0732,-5842.47,,,0.00133299,107.9340477,,2.97E-01,,0.260124607,
40,0.000253431,-0.00139196,-0.000291416,-0.00113617,0.000406243,40.0065,-0.0752,-6090.47,,,0.00139196,112.5156106,,1.82E-01,,0.249448565,
41,0.000339877,-0.00139606,-0.000287344,-0.00109808,0.000442076,41.0043,-0.0773,-6306.26,,,0.00139606,116.5021245,,2.43E-01,,0.250702046,
42,0.000278849,-0.00142286,-0.00037007,-0.0011862,0.000276423,42.0006,-0.0795,-6592.91,,,0.00142286,121.7977092,,1.96E-01,,0.207275854,
43,0.0003604,-0.00149424,-0.000357157,-0.00122427,0.000413585,43.0037,-0.0817,-6834.47,,,0.00149424,126.2602993,,2.41E-01,,0.246721391,
44,0.000352908,-0.00151045,-0.00037007,-0.00121593,0.000484423,44.0058,-0.0836,-7105.02,,,0.00151045,131.2584519,,2.34E-01,,0.247337314,
45,0.00035909,-0.00155428,-0.00041132,-0.00126437,0.000495121,45.0059,-0.0857,-7311.14,,,0.00155428,135.0663218,,2.31E-01,,0.270450464,
46,0.000310282,-0.00155391,-0.000453444,-0.00131839,0.000414391,46.0037,-0.0878,-7578.47,,,0.00155391,140.004988,,2.00E-01,,0.27911431,
47,0.000314732,-0.00154844,-0.000363636,-0.00130907,0.000477457,47.0092,-0.09,-7839.35,,,0.00154844,144.8244966,,2.03E-01,,0.231296734,
48,0.000448404,-0.00159499,-0.00040742,-0.00130721,0.000513664,48.004,-0.0922,-8100.23,,,0.00159499,149.6440052,,2.81E-01,,0.257165903,
49,0.000475181,-0.00165694,-0.000232101,-0.00136627,0.000524167,49.0048,-0.0941,-8325.69,,,0.00165694,153.8091631,,2.87E-01,,0.248079448,
50,0.000345563,-0.00170297,-0.000371776,-0.00144853,0.000524905,50.0041,-0.0963,-8612.33,,,0.00170297,159.1045631,,2.03E-01,,0.232789225,
51,0.000431954,-0.00172673,-0.000464518,-0.00141418,0.000594365,51.0054,-0.0984,-8850.67,,,0.00172673,163.5076667,,2.50E-01,,0.227111006,
52,0.000423299,-0.00181304,-0.000484156,-0.00147535,0.000550943,52.005,-0.1006,-9111.55,,,0.00181304,168.3271753,,2.33E-01,,0.237186315,
53,0.000458933,-0.00174419,-0.000365815,-0.00147431,0.000529109,53.005,-0.1026,-9375.66,,,0.00174419,173.2063551,,2.63E-01,,0.251940768,
54,0.000446502,-0.00186252,-0.000454219,-0.00154627,0.00052714,54.0037,-0.1048,-9630.1,,,0.00186252,177.9068908,,2.40E-01,,0.250405581,
55,0.000476798,-0.00183296,-0.000340625,-0.00155546,0.00054754,55.0056,-0.1069,-9890.98,,,0.00183296,182.7263994,,2.60E-01,,0.230048791,
56,0.000462767,-0.00185516,-0.000496107,-0.00159362,0.000585241,56.0053,-0.109,-10158.3,,,0.00185516,187.6648808,,2.49E-01,,0.213666299,
57,0.000484409,-0.00193221,-0.000461629,-0.00170066,0.000614557,57.0052,-0.1112,-10438.5,,,0.00193221,192.841308,,2.51E-01,,0.259169925,
58,0.000403763,-0.00194795,-0.000404177,-0.00165015,0.000623991,58.0033,-0.1131,-10676.8,,,0.00194795,197.2436726,,2.07E-01,,0.268833462,
59,0.000486014,-0.00196989,-0.000290242,-0.0016426,0.000628103,59.0063,-0.1153,-10924.8,,,0.00196989,201.8252355,,2.47E-01,,0.220967002,
60,0.000486698,-0.00196775,-0.000397868,-0.00173854,0.000654558,60.0031,-0.1174,-11195.4,,,0.00196775,206.8243118,,2.47E-01,,0.266944035,
61,0.000552652,-0.00204345,-0.000362916,-0.00177902,0.000670099,61.0047,-0.1196,-11469.2,,,0.00204345,211.8825051,,2.70E-01,,0.269544798,
62,0.000589749,-0.00211293,-0.00032248,-0.00182856,0.000673833,62.0055,-0.1216,-11723.6,,,0.00211293,216.5823019,,2.79E-01,,0.24149411,
