time,disp_y_top,react_y_top,stress_yy
0,0,0,0
0.01,-0.0035,-0.015882102122419,-0.0079238547624159
0.02,-0.007,-0.023703599627579,-0.011813428824051
0.03,-0.0105,-0.031530052740658,-0.015697059087127
0.04,-0.014,-0.039361365318793,-0.019574667301211
0.05,-0.0175,-0.047197513698785,-0.023446213763752
0.06,-0.021,-0.054264418860949,-0.02692725777027
0.07,-0.0245,-0.060435852644723,-0.029956331452849
0.08,-0.028,-0.066554783325397,-0.032952577480732
0.09,-0.0315,-0.071996928115927,-0.035607027366986
0.1,-0.035,-0.075878520011034,-0.037484313245048
0.11,-0.0385,-0.0796550586636,-0.039305406783919
0.12,-0.042,-0.083339730158662,-0.04107698641233
0.13,-0.0455,-0.086943408802881,-0.042804562275458
0.14,-0.049,-0.09047513014888,-0.044492716101647
0.15,-0.0525,-0.093942493211709,-0.046145304099293
0.16,-0.056,-0.097351954967768,-0.047765605336263
0.17,-0.0595,-0.10070905235151,-0.049356433709375
0.18,-0.063,-0.10401857328935,-0.050920224583791
0.19,-0.0665,-0.10728468396492,-0.052459097582646
0.2,-0.07,-0.11051103937134,-0.053974914585799
0.21,-0.0735,-0.11370086151019,-0.055469317731412
0.22,-0.077,-0.11677846909537,-0.056906029115797
0.23,-0.0805,-0.11980419657573,-0.058314266835593
0.24,-0.084,-0.12279912225511,-0.059704252222677
0.25,-0.0875,-0.1257654474225,-0.061077106316467
0.26,-0.091,-0.1287051535084,-0.062433844674162
0.27,-0.0945,-0.13155546526354,-0.063743766220366
0.28,-0.098,-0.1342672858231,-0.064982986604652
0.29,-0.1015,-0.13695425026152,-0.066207241787448
0.3,-0.105,-0.13961794092644,-0.067417348631716
0.31,-0.1085,-0.15458192771078,-0.074787094964156
0.32,-0.112,-0.17667337722599,-0.08570816193091
0.33,-0.1155,-0.19839052314757,-0.096423534402143
0.34,-0.119,-0.21972902335848,-0.10693077070606
0.35,-0.1225,-0.2406959282362,-0.11723302736967
0.36,-0.126,-0.26130728220885,-0.12733796586905
0.37,-0.1295,-0.28158576687622,-0.13725659866528
0.38,-0.133,-0.30155828906754,-0.14700209897063
0.39,-0.1365,-0.32125381240437,-0.15658872365514
0.4,-0.14,-0.34070160488585,-0.1660309372292
0.41,-0.1435,-0.35992995644479,-0.17534276630905
0.42,-0.147,-0.37741398118858,-0.18376958225299
0.43,-0.1505,-0.39393090177892,-0.19169830707637
0.44,-0.154,-0.40992050087788,-0.19934719088219
0.45,-0.1575,-0.42483317385218,-0.20644571678115
0.46,-0.161,-0.43881281166302,-0.21306431440594
0.47,-0.1645,-0.45206819507243,-0.21930463316411
0.48,-0.168,-0.46500475689143,-0.2253719399579
0.49,-0.1715,-0.47700026637354,-0.23096404852776
0.5,-0.175,-0.48862302212243,-0.23635556385915
0.51,-0.1785,-0.49992361454621,-0.2415719150444
0.52,-0.182,-0.51105405538304,-0.24669102946989
0.53,-0.1855,-0.52203083609398,-0.25172132604742
0.54,-0.189,-0.53286815198677,-0.25667006664367
0.55,-0.1925,-0.54357828642008,-0.26154354625524
0.56,-0.196,-0.55408422771708,-0.26630270252183
0.57,-0.1995,-0.56444802127418,-0.27097912610136
0.58,-0.203,-0.57469462051047,-0.27558553959194
0.59,-0.2065,-0.58478539704588,-0.28010217154063
0.6,-0.21,-0.59466985414123,-0.28450187095135
0.61,-0.2135,-0.60446534742811,-0.28884606651903
0.62,-0.217,-0.61406051791847,-0.29307960300019
0.63,-0.2205,-0.6262325078316,-0.29858640468558
0.64,-0.224,-0.65104711984844,-0.31036262502874
0.65,-0.2275,-0.67545628159091,-0.32191300336585
0.66,-0.231,-0.69905818976983,-0.33303461572535
0.67,-0.2345,-0.72707942934968,-0.34633893206732
0.68,-0.238,-0.76328297795047,-0.36368487915544
0.69,-0.2415,-0.79902898700401,-0.38076361359137
0.7,-0.245,-0.83447212866747,-0.39765285980566
0.71,-0.2485,-0.86862141808033,-0.41386226665714
0.72,-0.252,-0.90166544055225,-0.42948979691057
0.73,-0.2555,-0.93207623508616,-0.44376827662916
0.74,-0.259,-0.96106522475618,-0.45730693043056
0.75,-0.2625,-0.98913632842334,-0.47035721587777
0.76,-0.266,-1.0168358375942,-0.48318964126518
0.77,-0.2695,-1.0441774307733,-0.49581113840198
0.78,-0.273,-1.0711293049725,-0.50820644073371
0.79,-0.2765,-1.0975984274148,-0.52033055497722
0.8,-0.28,-1.1234665392437,-0.53212722626186
0.81,-0.2835,-1.1487936045607,-0.54362611228014
0.82,-0.287,-1.1745027853316,-0.55528771337837
0.825,-0.28875,-1.1953517013781,-0.5651029914648
0.835,-0.29225,-1.2351518305392,-0.58376860707662
0.845,-0.29575,-1.2738576483389,-0.60185558368151
0.855,-0.29925,-1.3116729068841,-0.61946656984751
0.865,-0.30275,-1.3486973251275,-0.63664993685417
0.875,-0.30625,-1.3847122374159,-0.65330211426401
