Experiment:,25C,,,,,,,,,,,,,,New3D,,New2D,,,1.94E-01,9811.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time (s),Depth (nm),Load (uN),,hm (nm),F (uN),hm1 (um),hm1 (nm),F1 (uN),F (exp),disp_y_2D,react_y_2D,disp_y_3D,react_y_3D,,h3D,F3D,h2D,F2D,,Depth1,Force1,Depth2,Force2,Depth,Force,,Depth0 (nm),Load0 (uN),Depth2 (nm),Load2 (uN),Depth3 (nm),Load3 (uN),Depth4 (nm),Load4 (uN),Depth5 (nm),Load5 (uN),Depth6 (nm),Load6 (uN),Depth7 (nm),Load7 (uN),Depth8 (nm),Load8 (uN),Depth9 (nm),Load9 (uN),Depth10 (nm),Load10 (uN),Depth11 (nm),Load11 (uN),Depth12 (nm),Load12 (uN),Depth13 (nm),Load13 (uN),Depth14 (nm),Load14 (uN),Depth15 (nm),Load15 (uN),Depth16 (nm),Load16 (uN),Depth17 (nm),Load17 (uN),Depth18 (nm),Load18 (uN),Depth19 (nm),Load19 (uN),Depth20 (nm),Load20 (uN),Depth21 (nm),Load21 (uN),Depth22 (nm),Load22 (uN),Depth23 (nm),Load23 (uN),Depth24 (nm),Load24 (uN)
4.131302,1.645539,10.550323,,0,3.70E-13,0.00E+00,0.00E+00,1.40E-11,0,-0.0226,-0.177357225,-0.0226,-0.024433981,,-2.44E-02,265.62,,,,2.07E-02,166.58,2.22E-02,222.54,2.21E-02,120.98,,1.661556,6.036593,1.492224,12.41399,1.839429,11.749064,1.321821,13.098194,1.038489,13.524575,1.676685,11.166144,1.207924,10.851475,1.10298,12.562174,1.132259,13.280016,1.253146,12.077317,1.044125,14.072405,0.915978,13.314025,0.713623,14.334997,1.159066,12.664792,1.136656,11.910218,1.362733,12.128382,1.940624,10.949117,1.762868,10.063439,2.272823,9.74938,1.295559,13.259674,1.427421,10.078143,1.215051,10.19587,1.003068,11.701848,0.794126,13.454322
4.136307,1.8981,12.516116,,0,4.73E-13,0.00E+00,0.00E+00,2.24E-12,0,-0.02486,-0.203988626,-0.02486,-0.028172077,,-2.66E-02,292.63,,,,2.26E-02,192.16,2.42E-02,252.19,2.42E-02,141.7,,1.869017,8.112752,1.640202,14.286573,2.154311,13.601385,1.459331,14.936921,1.398655,15.31565,1.924923,13.044736,1.489188,12.725154,1.511297,14.371595,1.347781,15.106611,1.727987,13.891832,0.926998,15.92875,0.996839,15.165891,0.889326,16.134937,1.4018,14.503176,1.267284,13.795384,1.786238,13.965533,1.701888,12.95162,2.411085,11.917782,2.150806,11.719902,0.989181,15.175439,1.906956,11.940334,1.97536,12.016462,1.422958,13.547802,1.340509,15.226673
4.141312,2.240768,14.651789,,0,2.55E-13,0.00E+00,0.00E+00,1.14E-12,0,-0.02712,-0.231005348,-0.02712,-0.031840329,,-2.89E-02,323.37,,,,2.45E-02,221.03,2.63E-02,288.71,2.63E-02,168.48,,2.084534,10.374568,1.765708,16.342023,2.280156,15.653973,1.660427,16.945092,1.487219,17.330065,1.808991,15.163654,1.795806,14.77743,1.673406,16.397042,1.6485,17.089834,1.635266,15.975028,1.152341,17.911104,1.045602,17.199626,1.273147,18.086226,1.455512,16.548487,1.489251,15.838848,1.729403,16.05812,2.460684,14.960107,2.151003,14.113336,2.265886,13.833082,1.682202,17.107088,1.92284,14.065626,1.880062,14.165398,1.720657,15.593881,1.136673,17.32046
4.146317,2.260464,17.029122,,0,4.32E-13,0.00E+00,0.00E+00,3.55E-12,0,-0.02938,-0.258520595,-0.02938,-0.037884257,,-3.11E-02,358.13,,,,2.65E-02,248.62,2.83E-02,324.29,2.83E-02,195.28,,2.178619,12.846808,2.084997,18.550415,2.53245,17.880362,1.889762,19.140798,1.949563,19.475557,2.346638,17.351496,1.721302,17.073573,1.534281,18.65938,1.545584,19.335571,1.922967,18.184324,1.509567,20.06015,1.596725,19.335471,1.24231,20.295027,1.562222,18.775108,1.649803,18.0763,1.932018,18.29785,2.340209,17.310916,2.703441,16.347314,2.96615,16.024777,1.728987,19.333564,2.261582,16.313918,2.565239,16.360661,1.567624,17.895546,1.645741,19.47511
4.151322,2.491059,19.55456,,0,7.64E-14,1.85E-03,1.85E+00,5.4808,10.550323,-0.03164,-0.291163732,-0.03164,-0.043634973,,-3.33E-02,397.5,,,,2.84E-02,280.16,3.04E-02,364.66,3.04E-02,225.7,,2.51319,15.457192,2.365073,20.949922,2.896021,20.2631,2.497973,21.447611,2.317143,21.816146,2.641932,19.766299,2.047696,19.484731,2.042181,20.997168,1.901539,21.682635,2.451973,20.532956,1.440448,22.463557,1.736938,21.727892,1.415139,22.648584,2.037449,21.118733,2.063403,20.458643,2.406703,20.669724,2.822629,19.738899,3.067989,18.801239,2.584111,18.586177,1.837884,21.73485,2.687845,18.732682,2.115419,18.934398,2.298751,20.231641,1.464994,21.927516
4.156326,2.929719,22.225282,,1.6407,14.779,4.46E-03,4.46E+00,17.565,34.809497,-0.0339,-0.322953805,-0.0339,-0.048226265,,-3.55E-02,441.51,,,,3.03E-02,313.46,3.25E-02,403.32,3.24E-02,254.66,,2.953303,18.241146,2.525414,23.55438,3.180407,22.847582,2.562426,24.038902,2.298151,24.410046,2.831214,22.380456,2.589421,22.047696,2.272783,23.561608,2.268272,24.214004,2.400813,23.168182,2.031175,24.941511,1.709632,24.329015,2.004542,25.120028,2.431789,23.663876,2.108448,23.082802,2.762257,23.24753,3.000196,22.405193,2.91845,21.526521,3.334176,21.136146,2.366774,24.248991,2.625641,21.417003,3.079627,21.449429,2.084621,22.916416,2.067577,24.434193
4.161331,3.357396,25.084301,,4.6528,31.703,7.07E-03,7.07E+00,34.446,68.127222,-0.03616,-0.358673297,-0.03616,-0.052758466,,-3.77E-02,487.43,,,,3.22E-02,348.92,3.45E-02,446.16,3.45E-02,288.24,,3.179852,21.243885,2.828997,26.314422,3.570536,25.59672,2.852289,26.773287,2.523085,27.143872,3.139718,25.163737,2.60248,24.878081,2.317435,26.346881,2.277612,26.988352,3.073108,25.860289,2.205591,27.672282,2.345021,27.003074,2.167885,27.845825,2.464731,26.453365,2.252546,25.87304,2.91319,26.046292,3.186999,25.252813,3.761878,24.262801,3.769934,23.932807,2.231801,27.058132,3.282309,24.165962,2.74966,24.372345,2.799239,25.623257,1.912633,27.249618
4.166336,3.646687,28.15735,,7.7775,47.656,9.68E-03,9.68E+00,55.012,109.565931,-0.03842,-0.394089863,-0.03842,-0.058453881,,-4.00E-02,535.54,,,,3.42E-02,386.01,3.66E-02,490.87,3.66E-02,322.92,,3.26968,24.450714,3.287841,29.23917,3.945456,28.534095,3.50658,29.630572,3.035525,30.012798,3.605648,28.102039,2.742081,27.875119,2.982358,29.205198,2.779421,29.865275,3.060784,28.856442,2.242463,30.611502,2.364463,29.963969,2.36153,30.755949,2.621508,29.405836,2.518366,28.831136,3.349654,28.981047,3.663665,28.236037,3.753186,27.336288,3.428835,27.035605,2.946432,29.912672,3.212674,27.220435,3.384645,27.309955,2.566011,28.678545,2.542811,30.123576
4.171341,3.918438,31.411398,,11.29,64.674,1.23E-02,1.23E+01,76.606,131.972114,-0.04068,-0.430451044,-0.04068,-0.064242219,,-4.22E-02,587.14,,,,3.61E-02,421.78,3.86E-02,538.82,3.86E-02,361.93,,3.530605,27.804912,3.674776,32.354496,4.371988,31.651537,3.87266,32.72413,3.374685,33.099019,3.762433,31.277274,3.428266,30.966207,3.048681,32.355029,2.841788,32.999453,3.538996,31.957344,2.945893,33.623897,2.678899,33.061235,2.665744,33.826104,3.226019,32.469341,2.955706,31.939451,3.751645,32.107453,3.88123,31.448999,4.187988,30.51539,4.411393,30.103597,2.882559,33.075034,3.879348,30.336047,3.42965,30.540279,3.24512,31.759164,2.57167,33.276041
4.176346,4.422913,34.809497,,14.462,84.321,1.49E-02,1.49E+01,101.19,172.574584,-0.04294,-0.470766422,-0.04294,-0.070312206,,-4.44E-02,636.33,,,,3.80E-02,464.02,4.07E-02,587.33,4.07E-02,400.24,,4.031559,31.28813,3.79127,35.707877,4.787597,34.951066,3.973136,36.045988,3.761621,36.360365,3.984397,34.627124,3.696645,34.303394,3.28575,35.660016,2.85052,36.323775,3.719037,35.28365,2.681465,36.980157,3.269372,36.299973,3.114144,37.059864,3.747278,35.728728,3.201464,35.269207,4.044561,35.435439,4.402802,34.790445,4.65608,33.872583,4.695736,33.475086,3.225865,36.357897,3.901067,33.74621,3.966516,33.863766,3.495507,35.099895,2.822186,36.580187
