Experiment:,25C,,,,,,,,,,,,,,New3D,,New2D,,,1.94E-01,9811.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time (s),Depth (nm),Load (uN),,hm (nm),F (uN),hm1 (um),hm1 (nm),F1 (uN),F (exp),disp_y_2D,react_y_2D,disp_y_3D,react_y_3D,,h3D,F3D,h2D,F2D,,Depth1,Force1,Depth2,Force2,Depth,Force,,Depth0 (nm),Load0 (uN),Depth2 (nm),Load2 (uN),Depth3 (nm),Load3 (uN),Depth4 (nm),Load4 (uN),Depth5 (nm),Load5 (uN),Depth6 (nm),Load6 (uN),Depth7 (nm),Load7 (uN),Depth8 (nm),Load8 (uN),Depth9 (nm),Load9 (uN),Depth10 (nm),Load10 (uN),Depth11 (nm),Load11 (uN),Depth12 (nm),Load12 (uN),Depth13 (nm),Load13 (uN),Depth14 (nm),Load14 (uN),Depth15 (nm),Load15 (uN),Depth16 (nm),Load16 (uN),Depth17 (nm),Load17 (uN),Depth18 (nm),Load18 (uN),Depth19 (nm),Load19 (uN),Depth20 (nm),Load20 (uN),Depth21 (nm),Load21 (uN),Depth22 (nm),Load22 (uN),Depth23 (nm),Load23 (uN),Depth24 (nm),Load24 (uN)
12.043891,188.630501,7954.143623,,,,,,,,,,,,,,,,,,,,,162.603242,7955.153182,195.177137,7954.098852,218.265792,7954.16078,215.642991,7954.153078,167.996156,7954.061576,204.975543,7954.146297,221.469524,7954.128611,166.200272,7954.083393,164.125864,7954.070156,216.082061,7954.090003,171.684031,7954.113719,176.390218,7954.049833,195.90837,7954.14242,214.855932,7954.128217,164.136135,7954.068588,173.147352,7954.103882,218.904122,7954.173325,164.11305,7954.112574,219.91928,7954.133967,185.697351,7954.067653,166.82109,7954.08588,218.51933,7954.108873,160.979728,7954.076654,162.814037,7954.069538,,,,
12.048896,188.604533,7959.116372,,,,,,,,,,,,,,,,,,,,,162.459593,7960.181237,195.202781,7959.137615,218.159216,7959.118991,215.90156,7959.100152,167.75889,7959.12064,205.244285,7959.086351,221.740215,7959.166492,165.836908,7959.139571,163.944526,7959.118101,216.055164,7959.139364,172.049797,7959.115813,176.488606,7959.079896,195.786904,7959.108218,214.80328,7959.156083,164.359802,7959.146376,173.003412,7959.094487,218.546497,7959.10076,163.966021,7959.095987,220.444748,7959.17962,186.084939,7959.177194,167.230207,7959.14844,218.199557,7959.131447,160.664432,7959.11526,162.528642,7959.104161,,,,
12.053901,188.837022,7964.108263,,,,,,,,,,,,,,,,,,,,,162.545219,7965.188512,195.028943,7964.124941,218.217646,7964.19733,215.858605,7964.14172,167.717651,7964.112305,205.143971,7964.172196,221.570792,7964.14896,165.885744,7964.128029,164.154315,7964.079236,216.392851,7964.152718,172.00214,7964.146707,176.595298,7964.105418,196.106541,7964.134679,214.806484,7964.135908,164.329072,7964.103967,172.896532,7964.127922,218.94186,7964.160452,163.722489,7964.081504,220.722634,7964.146137,186.407081,7964.152248,166.833724,7964.09113,218.708547,7964.139253,161.239824,7964.133675,162.989272,7964.107645,,,,
12.058906,189.060449,7969.152126,,,,,,,,,,,,,,,,,,,,,162.665671,7970.18362,195.21145,7969.109312,218.372281,7969.125654,215.880419,7969.115096,168.104146,7969.064937,205.281102,7969.151293,221.509832,7969.174949,166.184315,7969.080289,164.263178,7969.062844,216.328093,7969.158482,172.043925,7969.127659,176.762891,7969.084234,196.202639,7969.135762,215.176292,7969.145622,164.381443,7969.109412,173.261574,7969.116518,218.709373,7969.156228,164.302657,7969.141366,220.594254,7969.207381,186.092287,7969.136531,167.274109,7969.11936,218.543987,7969.181777,160.935073,7969.097135,162.8683,7969.095694,,,,
12.063911,188.743674,7974.023204,,,,,,,,,,,,,,,,,,,,,162.937941,7975.17766,195.434802,7974.092556,218.599585,7974.084284,216.141988,7974.019536,168.140076,7974.09076,205.341358,7974.046945,221.79827,7974.067221,166.438304,7974.12406,164.136721,7974.101428,216.380033,7974.080774,172.20963,7974.064305,177.078167,7974.069302,196.059857,7974.081632,215.164855,7974.093482,164.422125,7974.065308,173.402271,7974.066757,219.131944,7974.046424,164.067563,7974.050529,220.342496,7974.086144,186.226828,7974.123623,166.981782,7974.05614,218.787664,7974.073444,161.350431,7974.094311,163.021406,7974.057092,,,,
12.068915,188.789806,7979.10429,,,,,,,,,,,,,,,,,,,,,162.773744,7980.183057,195.247477,7979.139019,218.710777,7979.179231,216.158251,7979.139398,168.184647,7979.077521,205.133607,7979.19267,221.869225,7979.090721,166.210856,7979.112989,164.36622,7979.132774,216.528976,7979.120694,171.917671,7979.154012,176.879787,7979.139511,196.027975,7979.104566,215.038258,7979.146312,164.612033,7979.084637,173.22709,7979.073115,219.067496,7979.102639,163.771703,7979.091437,221.042273,7979.119323,186.720926,7979.156575,167.500055,7979.10361,218.745031,7979.093622,161.199702,7979.120715,162.9635,7979.080867,,,,
12.07392,189.244664,7984.233352,,,,,,,,,,,,,,,,,,,,,162.88869,7985.229172,195.298685,7984.189926,218.578563,7984.181964,215.973293,7984.152517,168.217068,7984.151673,205.232587,7984.141501,221.875665,7984.186718,166.269245,7984.182544,164.42806,7984.175387,216.397711,7984.13174,172.433827,7984.147399,177.023493,7984.173952,196.324325,7984.20134,215.187309,7984.18133,164.758265,7984.195575,173.326531,7984.197494,219.326064,7984.180771,164.342817,7984.210924,220.860714,7984.182103,186.146216,7984.164391,167.255365,7984.19632,218.672604,7984.185478,161.210448,7984.16791,162.722877,7984.146529,,,,
12.078925,189.159041,7989.035951,,,,,,,,,,,,,,,,,,,,,162.895011,7990.213092,195.500174,7989.07448,218.722387,7989.109631,216.195328,7989.080619,168.420351,7989.051759,205.497647,7989.100599,221.868386,7989.084965,166.60755,7989.087712,164.33505,7989.039798,216.779764,7989.092239,172.421275,7989.033209,177.236546,7989.004402,196.555634,7989.094211,215.445175,7989.12503,164.757307,7989.036932,173.362719,7988.988589,219.242046,7989.079441,164.033569,7989.018101,220.47671,7989.102262,186.70459,7989.061685,167.585852,7989.07357,218.983264,7989.09744,161.31683,7989.065052,162.95328,7989.004499,,,,
12.08393,189.089649,7994.135642,,,,,,,,,,,,,,,,,,,,,163.004504,7995.2254,195.61543,7994.181865,218.904777,7994.124679,216.423234,7994.140205,168.257486,7994.09659,205.331894,7994.131739,222.15371,7994.089287,166.33606,7994.105407,164.59205,7994.088889,216.764717,7994.145591,172.202761,7994.100247,177.108546,7994.101488,196.509962,7994.084616,215.592901,7994.114572,164.873771,7994.119695,173.608529,7994.131659,219.087329,7994.123809,164.156566,7994.121118,221.261711,7994.145962,186.852204,7994.13663,167.28738,7994.11654,218.581264,7994.109119,161.034742,7994.11467,162.869332,7994.069683,,,,
12.088935,189.083705,7999.12703,,,,,,,,,,,,,,,,,,,,,163.186068,8000.23245,195.686126,7999.142156,219.001303,7999.174673,216.311273,7999.097092,168.296585,7999.19197,205.763104,7999.134108,222.138417,7999.169748,166.403128,7999.185473,164.787992,7999.18473,216.486266,7999.114358,172.686471,7999.150138,177.121658,7999.144174,196.555673,7999.141779,215.446269,7999.138298,164.751589,7999.184954,173.635003,7999.132749,219.350809,7999.148575,164.651869,7999.170297,221.212422,7999.179785,186.303883,7999.122962,167.688461,7999.20377,219.176367,7999.17608,161.423881,7999.159898,163.363693,7999.157111,,,,
12.093939,189.282248,8004.1011,,,,,,,,,,,,,,,,,,,,,163.299938,8005.258941,195.830081,8004.164206,218.957833,8004.177414,216.317033,8004.142369,168.529614,8004.109786,205.863938,8004.185502,222.051031,8004.125623,166.749891,8004.134578,164.549917,8004.103038,216.913046,8004.150626,172.537786,8004.11184,177.329843,8004.076257,196.761501,8004.12693,215.795728,8004.173649,164.750362,8004.094547,173.57713,8004.067228,219.423403,8004.144602,164.327037,8004.076321,220.86694,8004.153566,187.008827,8004.161632,167.404787,8004.12515,218.872842,8004.128788,161.12047,8004.113498,163.098683,8004.069289,,,,
12.098944,189.570742,8009.149591,,,,,,,,,,,,,,,,,,,,,163.35964,8010.227454,195.911481,8009.144264,219.084897,8009.160413,216.642604,8009.138225,168.571042,8009.128516,205.575689,8009.133161,222.483812,8009.123354,166.742588,8009.147936,164.94012,8009.155787,216.972375,8009.129484,172.628335,8009.136424,177.445953,8009.166189,196.683976,8009.074239,215.929764,8009.127378,164.993997,8009.133139,173.838444,8009.162896,219.805444,8009.171956,164.548166,8009.170811,221.349291,8009.123082,186.835105,8009.137797,167.829432,8009.16688,219.2367,8009.088095,161.773108,8009.156226,163.436146,8009.098686,,,,
12.103949,189.54776,8014.145005,,,,,,,,,,,,,,,,,,,,,163.468092,8015.264474,195.92832,8014.190357,218.980722,8014.190867,216.501627,8014.161309,168.529482,8014.187665,205.771913,8014.180705,222.534201,8014.19825,166.614367,8014.186134,164.836928,8014.178666,216.800202,8014.174166,172.883066,8014.157259,177.440901,8014.119941,196.498066,8014.186353,215.869022,8014.155984,165.008261,8014.180436,174.052341,8014.165371,219.691611,8014.189622,164.789387,8014.18129,221.531975,8014.192569,186.378461,8014.15604,167.597277,8014.1841,219.360344,8014.160556,161.343192,8014.158628,163.151024,8014.155712,,,,
12.108954,189.464852,8019.203406,,,,,,,,,,,,,,,,,,,,,163.391833,8020.310753,195.990854,8019.248529,219.296014,8019.257124,216.549736,8019.203295,168.529121,8019.140841,205.883029,8019.210213,222.458827,8019.211213,166.734079,8019.162275,164.609362,8019.13541,217.282483,8019.264118,172.58056,8019.158488,177.527818,8019.139462,196.820629,8019.15171,215.782002,8019.240288,165.177818,8019.192281,174.10832,8019.155551,219.885103,8019.190942,164.22111,8019.143678,221.243123,8019.216491,187.12487,8019.250021,167.958134,8019.16492,219.339082,8019.23853,162.070893,8019.200119,163.366056,8019.173719,,,,
12.113959,189.706869,8024.09679,,,,,,,,,,,,,,,,,,,,,163.221419,8025.20194,196.391239,8024.096808,219.532239,8024.124762,216.781444,8024.084308,168.813455,8024.073437,206.004372,8024.091254,222.580133,8024.114564,166.9006,8024.096436,165.08349,8024.120687,217.045629,8024.090622,172.866407,8024.092891,177.715522,8024.089975,196.999809,8024.107475,216.120593,8024.094366,165.1051,8024.056488,174.030071,8024.11052,219.871876,8024.147549,164.567905,8024.083639,221.36193,8024.108987,186.990232,8024.087371,167.783663,8024.07397,219.976886,8024.11956,161.473608,8024.036638,163.424576,8024.036726,,,,
12.118963,189.925786,8029.126162,,,,,,,,,,,,,,,,,,,,,163.424546,8030.262708,196.640386,8029.199281,219.449246,8029.168341,216.998031,8029.175274,168.861735,8029.186347,206.202876,8029.17293,222.890169,8029.165766,166.769306,8029.155385,164.916254,8029.184578,217.206535,8029.168624,173.026,8029.190409,177.791758,8029.11655,197.051214,8029.165729,216.23576,8029.181359,165.206489,8029.192042,174.198644,8029.131055,219.833884,8029.127421,164.904883,8029.169784,221.95834,8029.193577,186.846714,8029.180151,168.065365,8029.18351,219.522192,8029.175525,161.979847,8029.182836,163.351558,8029.162052,,,,
12.123968,189.821456,8034.20357,,,,,,,,,,,,,,,,,,,,,163.624943,8035.331505,196.645128,8034.241505,219.47138,8034.250268,216.851396,8034.200006,168.678841,8034.186577,206.549287,8034.226526,222.775572,8034.182875,166.880146,8034.22783,164.91756,8034.199471,217.327948,8034.223898,172.886441,8034.169246,177.613961,8034.212364,196.90745,8034.159172,216.234959,8034.217583,165.3513,8034.197898,174.37601,8034.202257,220.149431,8034.244664,164.605218,8034.182087,221.745194,8034.247959,187.464265,8034.270725,167.831941,8034.17545,220.01755,8034.225133,161.671479,8034.230809,163.694656,8034.210564,,,,
12.128973,189.751815,8039.153916,,,,,,,,,,,,,,,,,,,,,163.597873,8040.312298,196.820525,8039.159003,219.435741,8039.215459,216.820393,8039.173553,168.845691,8039.128874,206.407156,8039.20116,222.672584,8039.168387,167.158094,8039.166859,165.272491,8039.127411,217.186601,8039.168161,173.335991,8039.177813,177.822556,8039.10779,197.053149,8039.173502,216.402012,8039.16578,165.319809,8039.087779,174.151828,8039.121276,220.015588,8039.225908,165.035519,8039.145367,221.451042,8039.205166,187.242295,8039.120927,168.148539,8039.14569,219.701481,8039.208533,162.109136,8039.131901,163.510709,8039.08674,,,,
12.133978,189.906698,8044.12906,,,,,,,,,,,,,,,,,,,,,163.427745,8045.265921,197.117867,8044.246672,219.606589,8044.173293,217.033451,8044.161883,169.065416,8044.186406,206.439101,8044.159489,222.958545,8044.169212,167.03686,8044.189776,165.064023,8044.163978,217.589545,8044.203444,173.033183,8044.155253,177.978037,8044.121727,197.275145,8044.147027,216.776343,8044.233531,165.488472,8044.191928,174.334572,8044.133049,220.474068,8044.121312,165.306652,8044.177439,222.018941,8044.215488,186.886687,8044.198933,168.127574,8044.2002,219.768288,8044.212369,162.05352,8044.20511,163.660378,8044.180402,,,,
12.138983,190.139754,8049.193572,,,,,,,,,,,,,,,,,,,,,163.673146,8050.353297,197.427242,8049.207499,219.668029,8049.267003,217.176319,8049.229161,169.120538,8049.19878,206.611553,8049.241132,223.095151,8049.182852,166.997458,8049.225143,165.084271,8049.221137,217.607408,8049.20936,173.304453,8049.160843,177.930242,8049.18529,197.389128,8049.171904,216.521325,8049.210905,165.552978,8049.165664,174.502699,8049.201077,220.236316,8049.244521,164.824072,8049.128373,221.965156,8049.217068,187.478863,8049.226228,168.494431,8049.19085,219.907979,8049.194739,161.92904,8049.17094,163.898137,8049.152563,,,,
12.143987,190.178564,8054.259301,,,,,,,,,,,,,,,,,,,,,163.839686,8055.383676,197.267463,8054.234103,219.735852,8054.281226,217.125787,8054.251025,169.131466,8054.153483,206.470441,8054.307148,223.053093,8054.269895,167.359402,8054.204809,165.329563,8054.161238,217.573561,8054.25917,173.503636,8054.251788,177.923342,8054.184906,197.189981,8054.287409,216.59356,8054.254245,165.682957,8054.197799,174.781711,8054.22109,220.569069,8054.251833,165.379469,8054.227248,221.852607,8054.294784,187.307906,8054.183757,168.379336,8054.19483,219.756889,8054.292513,162.209497,8054.212255,163.547486,8054.144488,,,,
12.148992,190.031496,8059.083459,,,,,,,,,,,,,,,,,,,,,163.910625,8060.263954,197.286287,8059.144858,219.845668,8059.141399,217.255958,8059.088764,169.253326,8059.144608,206.641776,8059.095791,223.135944,8059.160753,167.379023,8059.187217,165.207825,8059.150704,217.794114,8059.161565,173.297989,8059.080587,178.172149,8059.102261,197.158866,8059.103378,216.824239,8059.183111,165.580686,8059.155879,174.738038,8059.124291,220.128838,8059.120108,165.411985,8059.171962,222.069319,8059.166312,187.045276,8059.169349,168.629909,8059.19367,220.441664,8059.157355,161.869528,8059.153877,163.984721,8059.159374,,,,
12.153997,190.175711,8064.184875,,,,,,,,,,,,,,,,,,,,,163.901771,8065.365105,197.444406,8064.21479,219.809776,8064.258616,217.554184,8064.247566,169.059634,8064.194777,206.98638,8064.257719,223.357299,8064.172855,167.401089,8064.197282,165.329929,8064.180987,217.770021,8064.200783,173.747737,8064.199124,178.367,8064.217401,197.486495,8064.186251,216.736635,8064.179546,165.701864,8064.19079,174.748245,8064.166747,220.848752,8064.252002,164.977754,8064.149917,222.621071,8064.202024,187.664617,8064.238444,168.658969,8064.17631,220.093819,8064.169769,162.199975,8064.185239,163.846255,8064.160881,,,,
12.159002,190.412761,8069.21688,,,,,,,,,,,,,,,,,,,,,164.113806,8070.339102,197.702681,8069.286167,219.944275,8069.222745,217.391943,8069.228193,169.047209,8069.21275,206.882888,8069.27028,223.286226,8069.24386,167.380251,8069.274368,165.536936,8069.268422,217.697753,8069.24824,173.499403,8069.250378,178.172853,8069.236736,197.573416,8069.240177,216.682155,8069.247287,165.873755,8069.302055,174.835244,8069.229141,220.345663,8069.211822,165.57512,8069.293438,222.351722,8069.287702,187.518588,8069.238456,168.608877,8069.30689,220.705432,8069.305132,162.070462,8069.286003,164.03087,8069.222798,,,,
12.164007,190.340684,8074.181102,,,,,,,,,,,,,,,,,,,,,164.272932,8075.40268,197.560273,8074.200243,220.086428,8074.291936,217.26841,8074.164138,169.360702,8074.178518,206.798068,8074.223246,223.193596,8074.225365,167.679856,8074.211185,165.356488,8074.177643,218.048072,8074.245404,173.655853,8074.113785,178.428301,8074.159051,197.548746,8074.203108,216.893517,8074.241904,166.006838,8074.163839,175.069099,8074.113672,220.934925,8074.260132,165.704098,8074.145879,222.038594,8074.25358,187.425445,8074.210696,168.623072,8074.13471,220.444161,8074.188461,162.466959,8074.16171,164.204473,8074.11664,,,,
12.169011,190.338976,8079.20953,,,,,,,,,,,,,,,,,,,,,164.413294,8080.335495,197.820572,8079.246661,220.206828,8079.256431,217.674417,8079.260653,169.476415,8079.228815,206.960816,8079.28692,223.399591,8079.158976,167.668649,8079.23649,165.539548,8079.19565,217.894427,8079.165465,173.932118,8079.27238,178.643783,8079.216941,197.607663,8079.239462,217.080797,8079.194725,165.954931,8079.209331,175.206006,8079.218213,220.640003,8079.170788,165.381476,8079.195905,222.478019,8079.198168,188.022418,8079.246907,168.844848,8079.2526,220.74122,8079.200958,162.366464,8079.236435,164.104768,8079.187292,,,,
12.174016,190.530285,8084.243285,,,,,,,,,,,,,,,,,,,,,164.404605,8085.413644,198.022342,8084.291165,220.268475,8084.246084,217.893253,8084.237961,169.353702,8084.279448,206.949032,8084.247083,223.489721,8084.269689,167.419332,8084.271872,165.766565,8084.278957,218.088541,8084.275503,173.531695,8084.264366,178.624201,8084.227543,197.733398,8084.230222,217.182547,8084.298743,165.963203,8084.254546,175.083852,8084.235386,221.195142,8084.262243,165.729577,8084.262397,222.553783,8084.312749,187.73842,8084.276166,168.894682,8084.25317,220.594452,8084.288771,162.694123,8084.269787,164.40739,8084.246975,,,,
12.179021,190.64629,8089.260246,,,,,,,,,,,,,,,,,,,,,164.349577,8090.444617,197.979533,8089.287861,220.227182,8089.327524,217.610709,8089.277222,169.552828,8089.231071,206.854153,8089.283515,223.380995,8089.226841,167.77467,8089.228722,165.600446,8089.179164,218.353305,8089.254279,174.032699,8089.224956,178.515613,8089.216404,197.6911,8089.254595,217.130614,8089.264177,166.01427,8089.194532,175.006366,8089.196213,220.904896,8089.320726,165.84094,8089.18597,222.235805,8089.265527,187.798027,8089.262679,169.03892,8089.18647,220.4672,8089.257184,162.484001,8089.188898,164.071206,8089.15344,,,,
12.184026,190.465053,8094.15528,,,,,,,,,,,,,,,,,,,,,164.619683,8095.280912,197.896858,8094.157205,220.379311,8094.147928,217.914842,8094.174252,169.721106,8094.136247,207.099998,8094.160835,223.482176,8094.148691,167.868621,8094.146872,165.925773,8094.144871,218.196786,8094.13089,173.933087,8094.183669,178.608325,8094.103325,197.789921,8094.147328,217.325355,8094.128458,166.079745,8094.145324,175.27061,8094.19572,221.280508,8094.155498,165.371763,8094.185531,222.490577,8094.174403,188.176697,8094.18919,168.907006,8094.18576,220.965943,8094.187269,162.699389,8094.151197,164.611933,8094.153511,,,,
12.189031,190.465813,8099.173688,,,,,,,,,,,,,,,,,,,,,164.779127,8100.438445,198.077927,8099.25991,220.48476,8099.26372,218.09764,8099.226493,169.63774,8099.268127,207.465134,8099.227449,223.766076,8099.239753,167.874484,8099.298596,165.874997,8099.286479,218.538823,8099.248753,173.98934,8099.174346,178.78308,8099.187564,198.236382,8099.266125,217.35934,8099.260456,166.239675,8099.241782,175.378532,8099.220664,220.996396,8099.244465,165.999276,8099.244685,223.019274,8099.25749,187.648384,8099.253971,168.911012,8099.23573,220.579137,8099.205344,162.762494,8099.229254,164.364904,8099.200309,,,,
12.194035,190.835633,8104.283352,,,,,,,,,,,,,,,,,,,,,164.838844,8105.436528,198.270326,8104.300558,220.408342,8104.325508,217.793289,8104.32053,169.431869,8104.271438,207.426289,8104.345995,223.926527,8104.258644,168.077303,8104.28311,165.770293,8104.273091,218.423459,8104.261763,174.342632,8104.287831,178.780248,8104.282225,198.295556,8104.285353,217.530049,8104.251911,166.310311,8104.288278,175.399149,8104.277192,221.561408,8104.281967,165.866435,8104.278853,222.853713,8104.251729,188.198065,8104.274566,169.008687,8104.23798,221.202523,8104.25925,162.636335,8104.281355,164.568389,8104.278512,,,,
12.19904,191.068166,8109.248429,,,,,,,,,,,,,,,,,,,,,164.676084,8110.412422,198.306804,8109.257818,220.559375,8109.241817,217.858972,8109.160866,169.963974,8109.167252,207.20101,8109.222026,223.898175,8109.274307,168.224355,8109.192907,166.134731,8109.194101,218.513457,8109.249143,173.969049,8109.181882,178.739562,8109.187646,198.318098,8109.26106,217.419394,8109.23291,166.242683,8109.167411,175.453041,8109.181193,221.154654,8109.229419,165.557031,8109.222244,222.53413,8109.312721,188.103728,8109.201998,169.220887,8109.2064,220.890642,8109.280301,162.97809,8109.202607,164.545524,8109.156315,,,,
12.204045,191.098957,8114.231469,,,,,,,,,,,,,,,,,,,,,164.794711,8115.480407,198.512076,8114.290208,220.686244,8114.297988,218.246073,8114.245076,169.696284,8114.26232,207.459071,8114.264932,223.915404,8114.193274,168.017743,8114.296906,166.103297,8114.266251,218.852428,8114.238941,174.169178,8114.215931,179.015526,8114.224414,198.48873,8114.241353,217.626146,8114.236632,166.196736,8114.23162,175.678769,8114.200606,221.767905,8114.252624,166.234125,8114.266671,223.270319,8114.245185,187.808816,8114.282297,169.056384,8114.24738,221.370229,8114.226799,162.807817,8114.258097,164.496944,8114.245466,,,,
12.20905,191.075917,8119.3063,,,,,,,,,,,,,,,,,,,,,164.938015,8120.422421,198.644713,8119.302573,220.724823,8119.290959,218.335748,8119.311641,169.779012,8119.222637,207.630398,8119.301378,224.042814,8119.286224,167.817786,8119.268931,165.841043,8119.24746,218.600276,8119.255029,174.473949,8119.313715,179.242011,8119.292246,198.52321,8119.276159,217.831384,8119.286528,166.206609,8119.251902,175.813564,8119.288466,221.388332,8119.278292,165.882755,8119.308103,223.157994,8119.315993,188.378344,8119.300966,169.452629,8119.28008,221.309044,8119.283441,163.233932,8119.282876,164.819791,8119.242151,,,,
12.214055,191.198367,8124.278939,,,,,,,,,,,,,,,,,,,,,165.207559,8125.560105,198.722462,8124.292364,220.760389,8124.364875,218.141033,8124.274927,170.117248,8124.267233,207.509579,8124.249498,223.967082,8124.340422,168.306966,8124.269709,166.044114,8124.2609,218.768551,8124.36155,174.174604,8124.222955,179.269835,8124.222573,198.54308,8124.323877,217.874592,8124.358283,166.415981,8124.270292,175.870584,8124.247254,221.783017,8124.367245,165.710537,8124.222634,222.860329,8124.377076,187.909342,8124.251681,169.237926,8124.23495,221.264439,8124.278057,162.772891,8124.200643,164.587716,8124.231946,,,,
12.219059,191.157083,8129.193728,,,,,,,,,,,,,,,,,,,,,164.9677,8130.391475,198.623077,8129.229205,220.92302,8129.252956,218.297187,8129.228696,170.176833,8129.243818,207.654045,8129.267206,223.852938,8129.164512,168.428755,8129.232432,166.190728,8129.236497,218.929979,8129.198035,174.534299,8129.243552,179.220364,8129.177204,198.633244,8129.206251,217.759855,8129.214446,166.54913,8129.231488,175.844409,8129.183298,221.509276,8129.161756,166.393474,8129.242814,223.396888,8129.194561,188.440664,8129.222903,169.458447,8129.2241,221.701345,8129.186042,163.451225,8129.242662,164.963554,8129.219897,,,,
12.224064,190.977632,8134.287134,,,,,,,,,,,,,,,,,,,,,165.055902,8135.451327,198.697183,8134.274195,221.113649,8134.310562,218.440148,8134.281543,169.962994,8134.278769,207.958198,8134.303217,224.15702,8134.33526,168.414702,8134.260534,166.110081,8134.272467,218.788819,8134.283411,174.527943,8134.270702,179.475233,8134.269522,198.889831,8134.321778,217.877211,8134.288139,166.650597,8134.291948,175.916736,8134.304787,221.9413,8134.29696,166.067455,8134.313816,223.443414,8134.347758,188.226265,8134.264872,169.358135,8134.3023,221.200085,8134.325254,163.084712,8134.259963,164.664923,8134.246861,,,,
12.229069,191.334239,8139.24947,,,,,,,,,,,,,,,,,,,,,165.121418,8140.568529,198.896153,8139.375236,221.292986,8139.384553,218.334575,8139.320806,170.031243,8139.335021,207.783875,8139.345131,224.425938,8139.307679,168.649732,8139.33905,166.198505,8139.343402,218.979945,8139.336814,174.431914,8139.28136,179.457571,8139.287421,198.96107,8139.333911,218.188923,8139.333726,166.61756,8139.302445,176.197468,8139.290914,221.792403,8139.297243,166.304517,8139.28427,223.03088,8139.294983,188.259352,8139.333236,169.6718,8139.33565,221.797762,8139.302252,163.28463,8139.296622,165.197471,8139.336229,,,,
12.234074,191.856537,8144.279532,,,,,,,,,,,,,,,,,,,,,165.195372,8145.442048,198.866398,8144.260761,221.07006,8144.293127,218.427592,8144.308087,170.192332,8144.214911,207.812884,8144.299264,224.197665,8144.269763,168.888146,8144.219958,166.460393,8144.213162,219.222556,8144.278439,174.683187,8144.205057,179.412826,8144.22503,198.736679,8144.202796,218.384142,8144.284221,166.652917,8144.26731,176.159735,8144.222309,222.065521,8144.298942,166.635474,8144.216771,223.444794,8144.313548,188.778071,8144.264029,169.68172,8144.24088,221.292796,8144.283989,163.255462,8144.227996,164.770014,8144.18308,,,,
12.239079,191.835063,8149.285273,,,,,,,,,,,,,,,,,,,,,165.304724,8150.504266,198.911149,8149.332065,221.101672,8149.319033,218.518874,8149.272825,170.190567,8149.313742,208.138148,8149.29513,224.270387,8149.313059,168.808977,8149.34362,166.227467,8149.309258,219.171058,8149.335309,174.586737,8149.310299,179.460788,8149.289161,199.016821,8149.323052,218.433776,8149.331365,166.728547,8149.296472,176.113461,8149.264917,222.072583,8149.254526,166.357349,8149.323841,223.599106,8149.355109,188.296243,8149.283672,170.106272,8149.35198,221.75381,8149.334568,163.236531,8149.257201,165.248016,8149.306005,,,,
12.244083,191.808357,8154.292308,,,,,,,,,,,,,,,,,,,,,165.389404,8155.554964,199.208143,8154.369082,221.160246,8154.37387,218.753924,8154.361101,170.518898,8154.343499,208.077124,8154.377144,224.564011,8154.320694,168.811011,8154.340486,166.432309,8154.334369,219.293589,8154.31514,174.67172,8154.301805,179.80562,8154.302391,199.191105,8154.307233,218.615487,8154.326932,166.885184,8154.330724,176.20374,8154.294305,222.309712,8154.350593,166.106119,8154.323482,223.218596,8154.313604,188.794883,8154.375972,169.700308,8154.33482,221.75872,8154.293614,163.426668,8154.380995,165.056784,8154.329539,,,,
12.249088,192.149846,8159.341104,,,,,,,,,,,,,,,,,,,,,165.394101,8160.543582,199.406297,8159.323693,221.259214,8159.346887,218.538155,8159.313235,170.53725,8159.255547,208.087779,8159.335058,224.639817,8159.391303,169.063718,8159.277848,166.620351,8159.280728,219.3602,8159.34209,174.787409,8159.29074,179.920036,8159.309334,199.059612,8159.333019,218.796054,8159.357861,166.832187,8159.269065,176.568405,8159.350358,222.104017,8159.358828,166.655414,8159.313781,223.499695,8159.431546,188.738566,8159.346335,170.223813,8159.30625,222.200538,8159.393553,163.327124,8159.250594,165.310907,8159.247517,,,,
12.254093,192.257368,8164.226109,,,,,,,,,,,,,,,,,,,,,165.638185,8165.500637,199.310077,8164.303993,221.474027,8164.299248,218.872178,8164.238676,170.449155,8164.29968,208.524969,8164.278349,224.566582,8164.22205,169.104583,8164.332928,166.408442,8164.327825,219.251976,8164.241636,174.792528,8164.286189,179.729877,8164.243354,199.224682,8164.265297,218.738977,8164.256453,167.018931,8164.285931,176.527681,8164.226579,222.470394,8164.257312,166.468296,8164.275615,223.981871,8164.277121,188.562483,8164.279086,169.940321,8164.28104,221.986557,8164.231311,163.640901,8164.306623,165.334292,8164.30201,,,,
