time,disp_y_top,react_y_top,stress_yy
0,0,0,0
0.01,-0.00226,-0.0037096679818599,-0.0018501479945897
0.02,-0.00452,-0.0042876316264071,-0.0021390039444059
0.03,-0.00678,-0.0048326978929777,-0.0024092602523745
0.04,-0.00904,-0.0053550860694077,-0.0026678413174216
0.05,-0.0113,-0.0071924929743461,-0.0035836681179467
0.06,-0.01356,-0.011051875500358,-0.0055093201203129
0.07,-0.01582,-0.014678427465258,-0.0073165929662888
0.08,-0.01808,-0.019618608053939,-0.0097777613129355
0.09,-0.02034,-0.023668760461759,-0.011791612807963
0.1,-0.0226,-0.026988279959364,-0.013438046987024
0.11,-0.02486,-0.029629819943591,-0.014743783581784
0.12,-0.02712,-0.031704754432288,-0.015764735236151
0.13,-0.02938,-0.038180986355475,-0.018984831278523
0.14,-0.03164,-0.046973803061344,-0.023359331372031
0.15,-0.0339,-0.055089202364561,-0.027390696273582
0.16,-0.03616,-0.062018649183754,-0.030825539889143
0.17,-0.03842,-0.067873574501527,-0.033719520730225
0.18,-0.04068,-0.072608711641424,-0.036050451611924
0.19,-0.04294,-0.076657937241579,-0.038035214370627
0.2,-0.0452,-0.08400088482831,-0.041664508127319
0.21,-0.04746,-0.094402815312777,-0.0468189257538
0.22,-0.04972,-0.10394312506957,-0.051537407448545
0.23,-0.05198,-0.11221893037652,-0.055618911673118
0.24,-0.05424,-0.11940512863069,-0.059150924447691
0.25,-0.0565,-0.126795384689,-0.062780238871302
0.26,-0.05876,-0.13339607616932,-0.066010684385198
0.27,-0.06102,-0.14428596108486,-0.071382952712471
0.28,-0.06328,-0.15630591397868,-0.077314379614801
0.29,-0.06554,-0.16770427057997,-0.082928956214013
0.3,-0.0678,-0.18013326476188,-0.089051715678229
0.31,-0.07006,-0.19082272432554,-0.094298749785515
0.32,-0.07232,-0.20033156398045,-0.098949981112513
0.33,-0.07458,-0.20974062158461,-0.1035461527393
0.34,-0.07684,-0.22268969384128,-0.10990707783117
0.35,-0.0791,-0.23613633637647,-0.11650987333139
0.36,-0.08136,-0.25089931120416,-0.12376294415161
0.37,-0.08362,-0.26402253968333,-0.13018856340914
0.38,-0.08588,-0.27520674397535,-0.13563800484625
0.39,-0.08814,-0.28508401728657,-0.14042703240015
0.4,-0.0904,-0.29805541140709,-0.14675747703128
0.41,-0.09266,-0.31435933622367,-0.15474752012041
0.42,-0.09492,-0.33155499428007,-0.16317476239968
0.43,-0.09718,-0.34722749586312,-0.17083148872461
0.44,-0.09944,-0.36055905371589,-0.17730950954936
0.45,-0.1017,-0.37345270371892,-0.18356116114593
0.46,-0.10396,-0.38984763723456,-0.19155638398897
0.47,-0.10622,-0.40901138481056,-0.20092740360545
0.48,-0.10848,-0.42654100931591,-0.20947231464449
0.49,-0.11074,-0.44408790712876,-0.21801586147411
0.5,-0.113,-0.4603963423845,-0.22593080224255
0.51,-0.11526,-0.47644109870056,-0.23370399887452
0.52,-0.11752,-0.49433013290649,-0.24239076733716
0.53,-0.11978,-0.51421680528121,-0.25206626744487
0.54,-0.12204,-0.53207526381151,-0.2607168478616
0.55,-0.1243,-0.55031765232027,-0.26955007319914
0.56,-0.12656,-0.56923388623991,-0.27870903501651
0.57,-0.12882,-0.58967415261346,-0.28862013401308
0.58,-0.13108,-0.60848602565134,-0.29770549344133
0.59,-0.13334,-0.62962679251042,-0.30794507774464
0.6,-0.1356,-0.65144516072962,-0.31851213322704
0.61,-0.13786,-0.67319441778926,-0.32903349251062
0.62,-0.14012,-0.69387391435866,-0.33900903735768
0.63,-0.14238,-0.71394759463321,-0.34866993339114
0.64,-0.14464,-0.73438343327356,-0.35850140910059
0.65,-0.1469,-0.75797959854439,-0.36990215491042
0.66,-0.14916,-0.78047556776638,-0.38073902393734
0.67,-0.15142,-0.80253309283547,-0.39134375465778
0.68,-0.15368,-0.82564043535114,-0.40246190473888
